Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Sep 20 2014,4,Northern Illinois,14,Arkansas,52,
Sep 20 2014,4,Utah State,14,Arkansas State,21,
Sep 20 2014,4,Louisiana-Lafayette,9,Boise State,34,
Sep 20 2014,4,Maine,10,Boston College,40,
Sep 20 2014,4,Virginia,33,Brigham Young,41,
Sep 20 2014,4,Norfolk State,7,Buffalo,36,
Sep 20 2014,4,Bethune-Cookman,7,Central Florida,41,
Sep 20 2014,4,Miami (OH),24,Cincinnati,31,
Sep 20 2014,4,Hawaii,12,Colorado,21,
Sep 20 2014,4,Tulane,13,Duke,47,
Sep 20 2014,4,North Carolina,41,East Carolina,70,
Sep 20 2014,4,Clemson,17,Florida State,23,
Sep 20 2014,4,Southern Utah,16,Fresno State,56,
Sep 20 2014,4,Troy,0,Georgia,66,
Sep 20 2014,4,Georgia Southern,28,South Alabama,6,
Sep 20 2014,4,Georgia Tech,27,Virginia Tech,24,
Sep 20 2014,4,Nevada-Las Vegas,14,Houston,47,
Sep 20 2014,4,Texas State,35,Illinois,42,
Sep 20 2014,4,Indiana,31,Missouri,27,
Sep 20 2014,4,Iowa,24,Pittsburgh,20,
Sep 20 2014,4,Central Michigan,10,Kansas,24,
Sep 20 2014,4,Louisville,34,Florida International,3,
Sep 20 2014,4,Marshall,48,Akron,17,
Sep 20 2014,4,Maryland,34,Syracuse,20,
Sep 20 2014,4,Middle Tennessee State,17,Memphis,36,
Sep 20 2014,4,Eastern Michigan,14,Michigan State,73,
Sep 20 2014,4,San Jose State,7,Minnesota,24,
Sep 20 2014,4,Mississippi State,34,Louisiana State,29,
Sep 20 2014,4,Miami (FL),31,Nebraska,41,
Sep 20 2014,4,New Mexico,38,New Mexico State,35,
Sep 20 2014,4,Presbyterian,0,North Carolina State,42,
Sep 20 2014,4,Nicholls State,3,North Texas,77,
Sep 20 2014,4,Western Illinois,7,Northwestern,24,
Sep 20 2014,4,Northwestern State,30,Louisiana Tech,27,
Sep 20 2014,4,Idaho,24,Ohio,36,
Sep 20 2014,4,Oklahoma,45,West Virginia,33,
Sep 20 2014,4,Old Dominion,45,Rice,42,
Sep 20 2014,4,Oregon,38,Washington State,31,
Sep 20 2014,4,San Diego State,7,Oregon State,28,
Sep 20 2014,4,Massachusetts,7,Penn State,48,
Sep 20 2014,4,Southern Illinois,13,Purdue,35,
Sep 20 2014,4,Rutgers,31,Navy,24,
Sep 20 2014,4,South Carolina,48,Vanderbilt,34,
Sep 20 2014,4,Appalachian State,20,Southern Mississippi,21,
Sep 20 2014,4,Delaware State,0,Temple,59,
Sep 20 2014,4,Texas A&amp;M,58,Southern Methodist,6,
Sep 20 2014,4,Ball State,23,Toledo,34,
Sep 20 2014,4,Utah,26,Michigan,10,
Sep 20 2014,4,Army,21,Wake Forest,24,
Sep 20 2014,4,Georgia State,14,Washington,45,
Sep 20 2014,4,Murray State,14,Western Michigan,45,
Sep 20 2014,4,Bowling Green State,17,Wisconsin,68,
Sep 20 2014,4,Florida Atlantic,19,Wyoming,20,
Sep 25 2014,5,Appalachian State,14,Georgia Southern,34,
Sep 25 2014,5,Texas Tech,35,Oklahoma State,45,
Sep 25 2014,5,UCLA,62,Arizona State,27,
Sep 26 2014,5,Fresno State,35,New Mexico,24,
Sep 26 2014,5,Middle Tennessee State,41,Old Dominion,28,
Sep 27 2014,5,Boise State,14,Air Force,28,
Sep 27 2014,5,Akron,21,Pittsburgh,10,
Sep 27 2014,5,Louisiana Tech,17,Auburn,45,
Sep 27 2014,5,Baylor,49,Iowa State,28,
Sep 27 2014,5,Bowling Green State,47,Massachusetts,42,
Sep 27 2014,5,Miami (OH),27,Buffalo,35,
Sep 27 2014,5,Colorado,56,California,59,
